sentence,label_id
"Baby Organic Cotton Footed Overall, Sage, 0/3 Months OR444s.",1
Material: 100% Cotton.,1
K3 Deluxe Virgin Plastic Bucket (Balti) 25 (23 LTR.) Black (Pack of 2) Sturdy and Light Weight Made from 100% virgin material Modern and stylish design Availability of various colors Traditional Round shapeEye.,1
"TUFFPAULIN 15FT X 15FT 120 GSM Silver Tarpaulin Tirpal Tadpatri Tharpai Thadika, Extra Strong, Reinforced Eyelets, UV Resistant, 100% Waterproof Virgin, 6 Layer MLCL 3D Rib Technology.",1
Our tarpaulins are 100% recyclable and will last five times longer than ordinary tarp.,1
"Shrayati Areca Leaf Round Bowls, 5 Inch, Pack of 100 Pcs, 100% Biodegradable, Disposable and Natural Shrayati Areca Leaf Round bowls are made from fallen leaves, which make us an environment.",1
friendly and 100% compostable.,1
"It will not stretch, deteriorate or fade.Solid durable matte canvas and hard PC back Exterior flap provides practical and comprehensive protection for your tablet and gives your case a timeless and professional look.Feitenn Provides 100% satisfaction product to our customers.",1
2 Pack 100% TPR Material: REACH certified.,1
"Organic Cotton Cover is designed to be breathable, with superior levels of airflow to keep you and the mattress cool.No more sweaty nights.",1
100% Natural Organic Pin core Latex Mattresses Pin Core Natural Latex is elastic and calibrates to the body posture.,1
"Our latex is ISO, I.S.I Certified, which guarantee its quality standards.",1
"So,Our Latex is 100% Organic and 100% Natural.",1
Organic Cotton quilted Base cover with moisture soaking and heat distribution formula.,1
friendly Rakhis Handmade in India by 21 Fools These beautiful Plantable Rakhis embedded with seeds are made from naturally dyed handspun organic cotton yarn.,1
The envelope is 100% biodegradable.,1
"You’ll surely find the right card that will make you, and your recipient, laugh!30% RECYCLED CONTENTBy using 30% recycled content to create our cards, our thick, glossy cardstock reduces waste and minimizes environmental impact.",1
"850 Thread Count 100% Organic Cotton Premium Bedding Collection Machine Washable (Oversized King Plus (128x120), White & Sage Green) Hotel Luxury 3pc Two Tone Duvet Cover Set.",1
"850 Thread Count 100% Organic Cotton Premium Bedding Collection Machine Washable (Oversized King Plus (128x120), White & Sage Green)",1
The process of making this material creates 60% less greenhouse gases than normal plastic.,1
Super soft 100% brushed microfiber fabric.,1
100% brushed microfiber fabric of these products allow you to experience the ultimate comfort with the softness.,1
The fabric is 100% recyclable and environmentally friendly.,1
"72 X 72 X 8 ""ORGANIC PASSION MATTRESS WITH ORGANIC COTTON FABRIC Organic Passion Mattress with Organic Cotton Fabric The Organic Passion Mattress is a soft feel mattress made with top.",1
"The internal layers of the mattress comprise of 100% natural organic latex foam, hybrid supportive foam, body supportive high density OCS foam that helps the mattress retain shape over years of use and zero disturbance pocket springs, making this mattress perfect for multiple sleepers.",1
Superdry Organic Cotton Vintage Logo Embroidered T.,1
"Shirt, Rust Orange Marl, Small A Superdry classic, the Organic Cotton Vintage Logo embroidered T.",1
"shirt features a classic crew neckline, short sleeves, a staple Superdry embroidered logo and a signature logo tab.Slim fit – designed to fit closer to the body for a more tailored lookRibbed crew necklineShort sleevesEmbroidered logoSignature logo tabMade with Organic Cotton .",1
"90% less water used, and better health for farmers.",1
Playa Rug Reversible Indoor/Outdoor Recycled Plastic Floor Mat/Rug .,1
Black & Gray (4'x6') 100% RECYCLABLE.,1
Our 100% recyclable eco.,1
